date,district,place,temperature_c,rainfall_mm,humidity_percent,disease_cases,disaster_event,description
2022-05-01,Malappuram,Nilambur Teak Museum,36.8,4.2,76,5,Heatwave,An intense heatwave threatened the health of the ancient teak trees in the Nilambur plantation.
2022-09-01,Alappuzha,Alleppey Backwaters,29.3,88.9,93,11,Flood,Heavy rains at the end of the monsoon season caused a fresh wave of flooding in the Alleppey backwaters.
2023-02-15,Pathanamthitta,Perunthenaruvi Waterfalls,34.8,0.1,59,1,Drought,The flow of Perunthenaruvi Waterfalls was reduced to a bare minimum due to severe drought.
2023-06-15,Idukki,Idukki Dam,23.5,160.7,97,10,Flood,The monsoon's vigorous start led to a rapid increase in the water level of the Idukki reservoir.
2024-03-01,Kollam,Thenmala,37.1,0.5,64,4,Heatwave,"The Thenmala region experienced a prolonged heatwave, leading to the cancellation of several eco-tourism activities."
2024-10-20,Thiruvananthapuram,Ponmudi,24.9,155.8,96,9,Landslide,The road to Ponmudi was closed for a week due to multiple landslides caused by the northeast monsoon.
2020-03-05,Ernakulam,Fort Kochi,35.8,1.8,77,3,Heatwave,The historic lanes of Fort Kochi baked in a severe heatwave that gripped the central Kerala region.
2020-12-15,Kannur,Payyambalam Beach,28.4,15.2,80,2,Cyclone,The distant effects of a cyclone resulted in unusually high tides at Payyambalam Beach.
2021-07-30,Kasaragod,Bekal Fort,29.6,180.1,97,15,Flood,The area surrounding Bekal Fort experienced severe flooding as the monsoon reached its peak intensity.
2022-01-20,Kottayam,Illikkal Kallu,29.5,0.2,61,0,Drought,The rocky landscape of Illikkal Kallu became extremely dry and arid during the winter drought.
2022-10-30,Pathanamthitta,Gavi,26.7,170.4,97,11,Landslide,"A landslide in Gavi trapped a bus full of tourists, necessitating a major rescue operation."
2023-04-18,Thrissur,Athirappilly Waterfalls,37.9,3.1,70,6,Heatwave,A punishing heatwave drastically reduced tourism to Athirappilly as the waterfall's flow diminished.
2023-08-28,Malappuram,Kadalundi Bird Sanctuary,29.5,148.2,96,9,Flood,"The annual flooding of the Kadalundi Bird Sanctuary was more extensive than usual, affecting nesting sites."
2024-07-28,Wayanad,Chembra Peak,23.1,225.9,99,22,Landslide,A massive section of a hillside on Chembra Peak collapsed after absorbing over 200mm of rain in a day.
2024-09-25,Ernakulam,Mattancherry,30.0,120.5,94,18,Flood,The commercial hub of Mattancherry was brought to a standstill by severe urban flooding.
2020-09-01,Kollam,Ashtamudi Lake,29.7,80.1,90,7,Flood,"The Kallada River, which feeds Ashtamudi Lake, overflowed, causing flooding along its banks."
2021-11-25,Idukki,Ramakkalmedu,24.1,95.6,92,6,Cyclone,"A cyclone's remnant brought strong winds and heavy, unseasonal rain to the high-altitude region of Ramakkalmedu."
2022-07-10,Kannur,Muzhappilangad Beach,29.8,195.2,98,18,Flood,The entire stretch of Muzhappilangad drive-in beach was closed as it was completely inundated by monsoon floodwaters.
2023-01-30,Kasaragod,Ranipuram Hills,32.8,0.0,54,0,Drought,"The prolonged absence of rain led to severe drought conditions, increasing the fire risk in Ranipuram's forests."
2023-07-07,Kottayam,Kumarakom,28.7,199.8,98,27,Flood,"A 'once in a century' flood event submerged almost all of Kumarakom, causing widespread devastation."
2024-02-10,Wayanad,Edakkal Caves,34.2,0.0,57,1,Drought,The area around Edakkal Caves faced an acute water shortage as the region reeled under a severe drought.
2024-08-20,Thrissur,Guruvayur Temple,29.4,160.3,96,15,Flood,"The temple town of Guruvayur was heavily flooded, disrupting daily rituals and causing hardship for pilgrims."
